事件,东京,华阴县,少华山,渭州,雁门县,五台山,桃花山,野猪林,沧州,梁山,大名府,郓城县,黄泥岗,济州城,景阳岗,阳谷县,十字坡,孟州,白虎山/二龙山/清风山/清风寨/青州/对影山,揭阳岭/揭阳镇/江州/无为军小城/黄门山,蓟州,沂水,沂岭,饮马川,祝家庄,李家庄,登州,豋云山,高唐州,武冈镇,华州,芒砀山,曾头市,建康府,凌州,寇州,东平府,东昌府
焦挺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石勇,,,,,,,,,,梁山,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
孙新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
顾大嫂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张青,,,,,,,,,,,,,,,,,十字坡,,,,,,,,,,,,,,,,,,,,,
孙二娘,,,,,,,,,,,,,,,,,十字坡,,,,,,,,,,,,,,,,,,,,,
王定六,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郁保四,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白胜,,,,,,,,,,梁山,,,黄泥岗,济州城,,,,,,,,,,,,,,,,,,,,,,,,
时迁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
段景住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高俅,东京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王进,东京,华阴县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王伦,,,,,,,,,,梁山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛二,东京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁世杰,,,,,,,,,,,大名府,,,,,,,,,,,,,,,,,,,,,,,,,,,
晁盖,,,,,,,,,,梁山,,郓城县,黄泥岗,,,,,,,,,,,,,,,,,,,,,,,,,
阎婆惜,,,,,,,,,,,,郓城县,,,,,,,,,,,,,,,,,,,,,,,,,,
张文远,,,,,,,,,,,,郓城县,,,,,,,,,,,,,,,,,,,,,,,,,,
武大,,,,,,,,,,,,,,,,阳谷县,,,,,,,,,,,,,,,,,,,,,,
潘金莲,,,,,,,,,,,,,,,,阳谷县,,,,,,,,,,,,,,,,,,,,,,
西门庆,,,,,,,,,,,,,,,,阳谷县,,,,,,,,,,,,,,,,,,,,,,
王婆,,,,,,,,,,,,,,,,阳谷县,,,,,,,,,,,,,,,,,,,,,,
蒋敬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张督监,,,,,,,,,,,,,,,,,,孟州,,,,,,,,,,,,,,,,,,,,
刘高,,,,,,,,,,,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
慕容彦达,,,,,,,,,,,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
黄文炳,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
潘巧云,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
裴如海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
